Restaurant_Name,Topic,Rating_Overall,Detail,Date_Written
Accha Authentic Indian Cuisine.,No Title,,"The restaurant itself is just off the main drag in Nimman area and so very accessible. Wonderfully imagined restaurant space--architect did a great job of fusing glass walls with 19th and 20th century wood embellishments, including the magnificent door. Spacious entry, great seating that guarantees privacy, banquet rooms for larger groups, and a solid wait staff and front end that assures a classy and smooth dining experience. English is widely spoken, and so you'll receive great help in this language from staff and menu. the menu has the classic 30 or 40 Indian dishes. Nans, Roti, all vegetarian and meat dishes are exceptionally flavored, served hot, and exceptional condiments provided. I thought the chicken madras curry was great, but could have been happy with so much else that I saw passing before me. Nans are huge and fluffy; and the house wine at 100 bhat is a solid deal for a Chiang mai restaurant (both red and white are provided). A real international clientele. You can eat in on sultry nights, but the outside seating is totally recommended if it cools a bit by dinner time. Pricing is about average for restaurants in this neighborhood, so it should not be difficult to get out of here with a solid three course dinner for 500 bhat; though you can certainly enjoy a tasty main course for less than half this. What you get for your money here will, however, be hard to match at even the closest dozen restaurants on this street. Highly recommended for those who miss the tastes of Chennai and points north, or for those who just need a change of cuisine. Read less","July 8, 2018"
Accha Authentic Indian Cuisine.,No Title,,A great place. Very authentic food. Would definitely come back as the food was really great and the service was lovely. It was always a pleasure being there. I can't wait to go back. Recommended :),"July 6, 2018"
Accha Authentic Indian Cuisine.,No Title,,"Came here late after we had arrived in Chiang Mai and wasn't let down! They have a large range of classic Indian food. We ordered a few curries, rice and naan breads (the breads are huge btw!!) and it was all really yummy and great! Service is good and reasonable price.","June 24, 2018"
Accha Authentic Indian Cuisine.,No Title,,"I wanted a paneer dish and I like it spicy. I was recommended to take the paneer tikka masala that was not spicy at all. I asked for some raw chili's (to sprinkle on top), and they bought a small bowl of while green chilies. I had to ask to have them chopped... The dish itself was passable, and not more. Meh.","June 18, 2018"
Accha Authentic Indian Cuisine.,No Title,,"Gotta say the food was really good although pricy compared to other restaurants in CM. The mutton biryaani was well prepared and the Chai and Gulab jamun were also awesome. Great ambience, good Indian music in background, friendly staff, good seating arrangements(indoor, outdoor and on the floor tables) and fast service. One less star because they charge a 3% per fee for CARD payments even when our bill was over a 1000 Baht and were not informed about this fee when I enquired at the begging of our order. Which didn't make sense but whatever that's their choice I guess. But overall a good Indian restaurant to go to.","May 29, 2018"
Accha Authentic Indian Cuisine.,No Title,,"Visited this place with 3 friends. I had never had Indian food before but everything we ordered was delicious. About 10 different dishes to share and drinks so a total bill at 1300 baht is absolutely reasonable. The only negative was the non Thai staff who could have been friendlier and more attentive, especially as we were there on a quiet night.","May 25, 2018"
Accha Authentic Indian Cuisine.,No Title,,"I've been to Accha may times. One of the best indian foods in Chiang Mai. The portion is quite big I recommended to order Combo set it come with two curry basmati rice and choices of Naan. And yes, Malasa chai smell so good. Parking lot available and its located in Nimman soi 5. The staff is very nice and of course very polite.","May 21, 2018"
Accha Authentic Indian Cuisine.,No Title,,"I have been to Accha a few times since it moved to its new, larger space, and it is my go to place in CM when looking for Indian food. The new building is great, plenty of indoor and outdoor seating. Very comfortable. The menu is pretty standard, with a wide selection of curries, briyanis, both meat and vegetarian choices. The service is friendly and efficient, and the food is served pretty quickly. It's not at the quality you will find in India, or London or Singapore, but in my opinion very good for Chiangmai. Read less","May 2, 2018"
Accha Authentic Indian Cuisine.,No Title,,"the best indian food in chiang mai, the price is not expensive,the taste is perfect. For me it is better food in India.","April 10, 2018"
Accha Authentic Indian Cuisine.,No Title,,"Lives up to its name. You can go in and your stomach will be full to your heart's content. Great place to go for a family, food is of great quality and the price is just right. They have moved to Soi 5, Niman and this new place is very spacious and has an outdoor eating area too. The ambience brings us back to the feeling of being in culturally rich India. Really hospitable , couteous and polite staff and we are very happy with the good service too! On the whole the experience was truly Accha.... Waiting to go again soon ! Read less","April 8, 2018"
